timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687777684433,606,GoToBookStore1_Add_Book-1687777684432,200,OK,NavigateTOTheBookStore 2-1,text,true,,829,400,1,3,https://demoqa.com/BookStore/v1/Book?ISBN=9781449331818,606,0,405
1687777684545,607,Launch-1687777684544,200,OK,Login_demoqa 1-1,text,true,,1939,442,2,3,https://demoqa.com/,607,0,424
1687777685040,199,GoToBookStore1_Add_Book-1687777685039,200,OK,NavigateTOTheBookStore 2-1,text,true,,4762,363,1,3,https://demoqa.com/BookStore/v1/Books,199,0,0
1687777685239,210,GoToBookStore1_Add_Book-1687777685238,200,OK,NavigateTOTheBookStore 2-1,bin,true,,7545,407,1,3,https://demoqa.com/images/Toolsqa.jpg,210,0,0
1687777684981,501,Launch-1687777684980,200,OK,Login_demoqa 1-2,text,true,,1939,442,2,3,https://demoqa.com/,501,0,338
1687777685451,412,GoToBookStore1_Add_Book-1687777685450,200,OK,NavigateTOTheBookStore 2-1,text,true,,55071,390,1,3,https://demoqa.com/main.css,205,0,0
1687777685868,196,GoToBookStore1_Add_Book-1687777685867,200,OK,NavigateTOTheBookStore 2-1,bin,true,,4543,396,1,3,https://demoqa.com/images/gplaypattern.jpg,196,0,0
1687777686065,231,GoToBookStore1_Add_Book-1687777686065,200,OK,NavigateTOTheBookStore 2-1,text,true,,1939,508,1,3,https://demoqa.com/books?book=9781449331818,231,0,0
1687777686297,0,Debug Sampler,200,OK,NavigateTOTheBookStore 2-1,text,true,,303,0,1,3,null,0,0,0
1687777685205,1817,Launch_1687777685205,200,OK,Login_demoqa 1-1,text,true,,792953,353,2,2,https://demoqa.com/bundle.js,380,0,0
1687777685520,1590,Launch_1687777685520,200,OK,Login_demoqa 1-2,text,true,,792953,353,2,2,https://demoqa.com/bundle.js,382,0,0
1687777687170,205,Launch_1687777687170,200,OK,Login_demoqa 1-1,text,true,,55071,366,2,2,https://demoqa.com/main.css,198,0,0
1687777687226,170,Launch_1687777687226,200,OK,Login_demoqa 1-2,text,true,,55071,366,2,2,https://demoqa.com/main.css,167,0,0
1687777687448,186,Launch_1687777687448,200,OK,Login_demoqa 1-1,bin,true,,4543,396,2,2,https://demoqa.com/images/gplaypattern.jpg,186,0,0
1687777687487,163,Launch_1687777687487,200,OK,Login_demoqa 1-2,bin,true,,4543,396,2,2,https://demoqa.com/images/gplaypattern.jpg,163,0,0
1687777687749,160,Launch_1687777687749,200,OK,Login_demoqa 1-2,bin,true,,7545,383,2,2,https://demoqa.com/images/Toolsqa.jpg,160,0,0
1687777687756,181,Launch_1687777687756,200,OK,Login_demoqa 1-1,bin,true,,7545,383,2,2,https://demoqa.com/images/Toolsqa.jpg,181,0,0
1687777688018,675,Launch_1687777688018,200,OK,Login_demoqa 1-2,text,true,,477335,378,2,2,https://demoqa.com/images/WB.svg,183,0,0
1687777687972,832,Launch_1687777687972,200,OK,Login_demoqa 1-1,text,true,,477335,378,2,2,https://demoqa.com/images/WB.svg,188,0,0
1687777688794,176,Nevigate_TO_The_BookStoreApplication-1687777688794,200,OK,Login_demoqa 1-2,text,true,,4762,363,2,2,https://demoqa.com/BookStore/v1/Books,176,0,0
1687777688856,198,Nevigate_TO_The_BookStoreApplication-1687777688857,200,OK,Login_demoqa 1-1,text,true,,4762,363,2,2,https://demoqa.com/BookStore/v1/Books,198,0,0
1687777689023,166,Nevigate_TO_The_BookStoreApplication-1687777689023,200,OK,Login_demoqa 1-2,bin,true,,7314,391,2,2,https://demoqa.com/images/bookimage0.jpg,166,0,0
1687777689100,196,Nevigate_TO_The_BookStoreApplication-1687777689100,200,OK,Login_demoqa 1-1,bin,true,,7314,391,2,2,https://demoqa.com/images/bookimage0.jpg,196,0,0
1687777689231,159,Nevigate_TO_The_BookStoreApplication-1687777689231,200,OK,Login_demoqa 1-2,bin,true,,3857,391,2,2,https://demoqa.com/images/bookimage2.jpg,159,0,0
1687777689347,199,Nevigate_TO_The_BookStoreApplication-1687777689348,200,OK,Login_demoqa 1-1,bin,true,,3857,391,2,2,https://demoqa.com/images/bookimage2.jpg,199,0,0
1687777689461,168,Nevigate_TO_The_BookStoreApplication-1687777689461,200,OK,Login_demoqa 1-2,bin,true,,2843,391,2,2,https://demoqa.com/images/bookimage3.jpg,168,0,0
1687777689644,196,Nevigate_TO_The_BookStoreApplication-1687777689645,200,OK,Login_demoqa 1-1,bin,true,,2843,391,2,2,https://demoqa.com/images/bookimage3.jpg,196,0,0
1687777689729,163,Nevigate_TO_The_BookStoreApplication-1687777689729,200,OK,Login_demoqa 1-2,bin,true,,4531,391,2,2,https://demoqa.com/images/bookimage1.jpg,163,0,0
1687777689955,163,/login-1687777689955,200,OK,Login_demoqa 1-2,text,true,,1939,447,2,2,https://demoqa.com/login,163,0,0
1687777689954,180,Nevigate_TO_The_BookStoreApplication-1687777689954,200,OK,Login_demoqa 1-1,bin,true,,4531,391,2,2,https://demoqa.com/images/bookimage1.jpg,180,0,0
1687777690224,163,/login-1687777690224,200,OK,Login_demoqa 1-2,text,true,,1939,447,2,2,https://demoqa.com/login,163,0,0
1687777690183,208,/login-1687777690183,200,OK,Login_demoqa 1-1,text,true,,1939,447,2,2,https://demoqa.com/login,208,0,0
1687777690437,172,/login-1687777690437,200,OK,Login_demoqa 1-2,text,true,,1939,447,2,2,https://demoqa.com/login,172,0,0
1687777690475,179,/login-1687777690475,200,OK,Login_demoqa 1-1,text,true,,1939,447,2,2,https://demoqa.com/login,179,0,0
1687777690679,222,Login/Account/v1/Login-1687777690679,200,OK,Login_demoqa 1-2,text,true,,622,505,2,2,https://demoqa.com/Account/v1/Login,222,0,0
